trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,pretty_name,h2
asiavg,0,0,0,0,0, 0.821417, 0.734220,Anthesis-silking interval,0
dtaavg,0,0,0,0,0, 0.825031, 0.780864,NA,0
dtsavg,0.078402,0,0,0.017792,0, 1.038300, 0.837327,NA,0.096194
ehtavg,0.196676,0,0,0,0, 0.881051, 0.773374,Ear height,0.196676
ehtdivphtavg,0,0,0.000307,0,0, 1.270986, 0.491377,Ratio of ear height to total height,0.000307
Kwt_5loc_residuals,0,0,0.043944,0,0, 0.650228, 0.491446,100 Kernel weight,0.043944
nlb_residuals,0,0.253425,0.008538,0,0, 0.696255, 0.855795,Northern Leaf Blight,0.261963
nphavg,0,0.009719,0,0,0, 0.572209, 0.336434,Nodes per plant,0.009719
nteavg,0,0.006641,0.015846,0,0, 0.839575, 0.737613,Nodes to ear,0.022487
nttavg,0,0,0.022547,0,0, 0.732144, 0.403269,Nodes above ear,0.022547
phtavg,0,0,0,0,0, 0.871920, 0.780467,Plant height,0
phtdivdtravg,0,0,0,0,0, 0.883491, 0.798862,Height per day (until flowering),0
phtdivnphavg,0,0,0,0.044178,0, 0.634804, 0.440084,Average internode length (whole plant),0.044178
ppgddta_pop,0,0,0,0,0, 1.670295,-0.217076,Photoperiod growing-degree days to anthesis,0
ppgddts_pop,0,0,0,0,0, 0.252219,-0.010697,Photoperiod Growing-degree days to silk,0
Residual_leaf_length_noIBM,0.013515,0,0,0.037032,0.054836, 0.734175, 0.718793,Leaf length,0.105383
Residual_leaf_width_noIBM,0,0.024524,0,0.024007,0, 0.784371, 0.729118,Leaf width,0.048531
residuals_distancebased_for_d2a,0,0,0.08917,0,0, 0.887094, 0.808928,Days to anthesis,0.08917
residuals_distancebased_for_d2s,0,0,0,5.2e-05,0, 0.926876, 0.805559,Days to silk,5.2e-05
residuals_distancebased_for_slbv2,0,0.329389,0,0,0, 0.621126, 0.824549,Southern leaf blight,0.329389
rpravg,0,0,0,0,0, 0.294004, 0.240996,Stalk strength,0
sf_residuals_nopop,0.01386,0,0.161015,0,0, 0.732505, 0.811158,Cob diameter,0.174875
so_residuals_nopop,0.023537,0.286546,0,0,0, 0.636937, 0.840073,Ear row number,0.310083
tassel_branches,0,0.411932,0,0,0, 0.552078, 0.819516,Tassel branch number,0.411932
tassel_length,0,0,0.009092,0,0, 0.937807, 0.792236,Tassel length,0.009092
thtavg,0,0,0,0,0, 0.738864, 0.660408,Height above ear,0
thtdivnttavg,0,0,0,0,0.004351, 0.790434, 0.558007,Average internode length (above ear),0.004351
